ANZSCO,Occupation,manual_telework
3931,Canvas and Leather Goods Makers,
393200,Clothing Trades Workers nfd,
393211,Apparel Cutter,
393212,Clothing Patternmaker,
393213,Dressmaker or Tailor,
393299,Clothing Trades Workers nec,
3932,Clothing Trades Workers,
393311,Upholsterer,
394000,Wood Trades Workers nfd,
394111,Cabinetmaker,
394200,Wood Machinists and Other Wood Trades Workers nfd,
394211,Furniture Finisher,
394212,Picture Framer,
394213,Wood Machinist,
394214,Wood Turner,
394299,Wood Machinists and Other Wood Trades Workers nec,
3942,Wood Machinists and Other Wood Trades Workers,
399000,Miscellaneous Technicians and Trades Workers nfd,
399100,Boat Builders and Shipwrights nfd,
399111,Boat Builder and Repairer,
399112,Shipwright,
3991,Boat Builders and Shipwrights,
399200,"Chemical, Gas, Petroleum and Power Generation Plant Operators nfd",
399211,Chemical Plant Operator,
399212,Gas or Petroleum Operator,
399213,Power Generation Plant Operator,
3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",
399300,"Gallery, Library and Museum Technicians nfd",
399311,Gallery or Museum Technician,
399312,Library Technician,
3993,"Gallery, Library and Museum Technicians",
399411,Jeweller,
399500,Performing Arts Technicians nfd,
399511,Broadcast Transmitter Operator,
399512,"Camera Operator (Film, Television or Video)",
399513,Light Technician,
399514,Make Up Artist,
399515,Musical Instrument Maker or Repairer,
399516,Sound Technician,
399517,Television Equipment Operator,
399599,Performing Arts Technicians nec,
3995,Performing Arts Technicians,
399611,Signwriter,
399900,Other Miscellaneous Technicians and Trades Workers nfd,
399911,Diver,
399912,Interior Decorator,
399913,Optical Dispenser,
399914,Optical Mechanic,
399915,Photographer's Assistant,
399916,Plastics Technician,
399917,Wool Classer,
399918,Fire Protection Equipment Technician,
399999,Technicians and Trades Workers nec,
3999,Other Miscellaneous Technicians and Trades Workers,
400000,Community and Personal Service Workers nfd,
411000,Health and Welfare Support Workers nfd,
411100,Ambulance Officers and Paramedics nfd,
411111,Ambulance Officer,
411112,Intensive Care Ambulance Paramedic,
4111,Ambulance Officers and Paramedics,
411200,"Dental Hygienists, Technicians and Therapists nfd",
411211,Dental Hygienist,
411212,Dental Prosthetist,
411213,Dental Technician,
411214,Dental Therapist,
4112,"Dental Hygienists, Technicians and Therapists",
411311,Diversional Therapist,
411400,Enrolled and Mothercraft Nurses nfd,
411411,Enrolled Nurse,
411412,Mothercraft Nurse,
4114,Enrolled and Mothercraft Nurses,
411511,Aboriginal and Torres Strait Islander Health Worker,
411611,Massage Therapist,
411700,Welfare Support Workers nfd,
411711,Community Worker,
411712,Disabilities Services Officer,
411713,Family Support Worker,
411714,Parole or Probation Officer,
411715,Residential Care Officer,
411716,Youth Worker,
4117,Welfare Support Workers,
420000,Carers and Aides nfd,
421100,Child Carers nfd,
421111,Child Care Worker,
421112,Family Day Care Worker,
421113,Nanny,
421114,Out of School Hours Care Worker,
4211,Child Carers,
422100,Education Aides nfd,
422111,Aboriginal and Torres Strait Islander Education Worker,
422112,Integration Aide,
422115,Preschool Aide,
422116,Teachers' Aide,
4221,Education Aides,
423000,Personal Carers and Assistants nfd,
423111,Aged or Disabled Carer,
423211,Dental Assistant,
423300,Nursing Support and Personal Care Workers nfd,
423311,Hospital Orderly,
423312,Nursing Support Worker,
423313,Personal Care Assistant,
423314,Therapy Aide,
4233,Nursing Support and Personal Care Workers,
423400,Special Care Workers nfd,
423411,Child or Youth Residential Care Assistant,
423412,Hostel Parent,
423413,Refuge Worker,
4234,Special Care Workers,
431000,Hospitality Workers nfd,
431100,Bar Attendants and Baristas nfd,
431111,Bar Attendant,
431112,Barista,
4311,Bar Attendants and Baristas,
431211,Cafe Worker,
431311,Gaming Worker,
431411,Hotel Service Manager,
431511,Waiter,
431900,Other Hospitality Workers nfd,
431911,Bar Useful or Busser,
431912,Doorperson or Luggage Porter,
431999,Hospitality Workers nec,
4319,Other Hospitality Workers,
440000,Protective Service Workers nfd,
441000,"Defence Force Members, Fire Fighters and Police nfd",
441111,Defence Force Member - Other Ranks,
441200,Fire and Emergency Workers nfd,
441211,Emergency Service Worker,
441212,Fire Fighter,
4412,Fire and Emergency Workers,
441300,Police nfd,
441311,Detective,
441312,Police Officer,
4413,Police,
442000,Prison and Security Officers nfd,
442111,Prison Officer,
442200,Security Officers and Guards nfd,
442211,"Alarm, Security or Surveillance Monitor",
442212,Armoured Car Escort,
442213,Crowd Controller,
442214,Private Investigator,
442215,Retail Loss Prevention Officer,
442216,Security Consultant,
442217,Security Officer,
442299,Security Officers and Guards nec,
4422,Security Officers and Guards,
450000,Sports and Personal Service Workers nfd,
451000,Personal Service and Travel Workers nfd,
451111,Beauty Therapist,
451211,Driving Instructor,
451300,Funeral Workers nfd,
451311,Funeral Director,
451399,Funeral Workers nec,
4513,Funeral Workers,
451400,"Gallery, Museum and Tour Guides nfd",
451411,Gallery or Museum Guide,
451412,Tour Guide,
4514,"Gallery, Museum and Tour Guides",
451500,Personal Care Consultants nfd,
451511,Natural Remedy Consultant,
451512,Weight Loss Consultant,
451513,Herbalist (Western),
4515,Personal Care Consultants,
451600,Tourism and Travel Advisers nfd,
451611,Tourist Information Officer,
451612,Travel Consultant,
4516,Tourism and Travel Advisers,
451700,Travel Attendants nfd,
451711,Flight Attendant,
451799,Travel Attendants nec,
4517,Travel Attendants,
451800,Other Personal Service Workers nfd,
451811,Civil Celebrant,
451812,Hair or Beauty Salon Assistant,
451813,Sex Worker or Escort,
451814,Body Artist,
451815,First Aid Trainer,
451816,Religious Assistant,
451899,Personal Service Workers nec,
4518,Other Personal Service Workers,
452000,Sports and Fitness Workers nfd,
452111,Fitness Instructor,
452200,Outdoor Adventure Guides nfd,
452211,Bungy Jump Master,
452212,Fishing Guide,
452213,Hunting Guide,
452214,Mountain or Glacier Guide,
452215,Outdoor Adventure Instructor,
452216,Trekking Guide,
452217,Whitewater Rafting Guide,
452299,Outdoor Adventure Guides nec,
4522,Outdoor Adventure Guides,
452300,"Sports Coaches, Instructors and Officials nfd",
452311,Diving Instructor (Open Water),
452312,Gymnastics Coach or Instructor,
452313,Horse Riding Coach or Instructor,
452314,Snowsport Instructor,
452315,Swimming Coach or Instructor,
452316,Tennis Coach,
452317,Other Sports Coach or Instructor,
452318,Dog or Horse Racing Official,
452321,Sports Development Officer,
452322,Sports Umpire,
452323,Other Sports Official,
4523,"Sports Coaches, Instructors and Officials",
452400,Sportspersons nfd,
452411,Footballer,
452412,Golfer,
452413,Jockey,
452414,Lifeguard,
452499,Sportspersons nec,
4524,Sportspersons,
500000,Clerical and Administrative Workers nfd,
510000,Office Managers and Program Administrators nfd,
511100,"Contract, Program and Project Administrators nfd",
511111,Contract Administrator,
511112,Program or Project Administrator,
5111,"Contract, Program and Project Administrators",
512000,Office and Practice Managers nfd,
512111,Office Manager,
512200,Practice Managers nfd,
512211,Health Practice Manager,
512299,Practice Managers nec,
5122,Practice Managers,
521000,Personal Assistants and Secretaries nfd,
521111,Personal Assistant,
521200,Secretaries nfd,
521211,Secretary (General),
521212,Legal Secretary,
5212,Secretaries,
530000,General Clerical Workers nfd,
531111,General Clerk,
532100,Keyboard Operators nfd,
532111,Data Entry Operator,
532112,Machine Shorthand Reporter,
532113,Word Processing Operator,
5321,Keyboard Operators,
540000,Inquiry Clerks and Receptionists nfd,
541000,Call or Contact Centre Information Clerks nfd,
541100,Call or Contact Centre Workers nfd,
541111,Call or Contact Centre Team Leader,
541112,Call or Contact Centre Operator,
5411,Call or Contact Centre Workers,
541211,Information Officer,
542100,Receptionists nfd,
542111,Receptionist (General),
542112,Admissions Clerk,
542113,Hotel or Motel Receptionist,
542114,Medical Receptionist,
5421,Receptionists,
550000,Numerical Clerks nfd,
551000,Accounting Clerks and Bookkeepers nfd,
551100,Accounting Clerks nfd,
551111,Accounts Clerk,
551112,Cost Clerk,
5511,Accounting Clerks,
551211,Bookkeeper,
551311,Payroll Clerk,
552000,Financial and Insurance Clerks nfd,
552111,Bank Worker,
552211,Credit or Loans Officer,
552300,"Insurance, Money Market and Statistical Clerks nfd",
552311,Bookmaker,
552312,Insurance Consultant,
552313,Money Market Clerk,
552314,Statistical Clerk,
5523,"Insurance, Money Market and Statistical Clerks",
561000,Clerical and Office Support Workers nfd,
561100,Betting Clerks nfd,
561111,Betting Agency Counter Clerk,
561112,Bookmaker's Clerk,
561113,Telephone Betting Clerk,
561199,Betting Clerks nec,
5611,Betting Clerks,
561200,Couriers and Postal Deliverers nfd,
561211,Courier,
561212,Postal Delivery Officer,
5612,Couriers and Postal Deliverers,
561311,Filing or Registry Clerk,
561400,Mail Sorters nfd,
561411,Mail Clerk,
561412,Postal Sorting Officer,
5614,Mail Sorters,
561511,Survey Interviewer,
561611,Switchboard Operator,
561900,Other Clerical and Office Support Workers nfd,
561911,Classified Advertising Clerk,
561912,Meter Reader,
561913,Parking Inspector,
561999,Clerical and Office Support Workers nec,
5619,Other Clerical and Office Support Workers,
590000,Other Clerical and Administrative Workers nfd,
591000,Logistics Clerks nfd,
591100,Purchasing and Supply Logistics Clerks nfd,
591112,Production Clerk,
591113,Purchasing Officer,
591115,Stock Clerk,
591116,Warehouse Administrator,
591117,Order Clerk,
5911,Purchasing and Supply Logistics Clerks,
591200,Transport and Despatch Clerks nfd,
591211,Despatching and Receiving Clerk,
591212,Import-Export Clerk,
5912,Transport and Despatch Clerks,
599000,Miscellaneous Clerical and Administrative Workers nfd,
599100,Conveyancers and Legal Executives nfd,
599111,Conveyancer,
599112,Legal Executive,
5991,Conveyancers and Legal Executives,
599200,Court and Legal Clerks nfd,
599211,Clerk of Court,
599212,Court Bailiff or Sheriff,
599213,Court Orderly,
599214,Law Clerk,
599215,Trust Officer,
5992,Court and Legal Clerks,
599311,Debt Collector,
599411,Human Resources Clerk,
599500,Inspectors and Regulatory Officers nfd,
599511,Customs Officer,
599512,Immigration Officer,
599513,Motor Vehicle Licence Examiner,
599514,Noxious Weeds and Pest Inspector,
599515,Social Security Assessor,
599516,Taxation Inspector,
599517,Train Examiner,
599518,Transport Operations Inspector,
599521,Water Inspector,
599599,Inspectors and Regulatory Officers nec,
5995,Inspectors and Regulatory Officers,
599600,"Insurance Investigators, Loss Adjusters and Risk Surveyors nfd",
599611,Insurance Investigator,
599612,Insurance Loss Adjuster,
599613,Insurance Risk Surveyor,
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",
599711,Library Assistant,
599900,Other Miscellaneous Clerical and Administrative Workers nfd,
599912,"Production Assistant (Film, Television, Radio or Stage)",
599913,Proof Reader,
599914,Radio Despatcher,
599915,Clinical Coder,
599916,Facilities Administrator,
599999,Clerical and Administrative Workers nec,
5999,Other Miscellaneous Clerical and Administrative Workers,
600000,Sales Workers nfd,
610000,Sales Representatives and Agents nfd,
611000,Insurance Agents and Sales Representatives nfd,
611100,"Auctioneers, and Stock and Station Agents nfd",
611111,Auctioneer,
611112,Stock and Station Agent,
6111,"Auctioneers, and Stock and Station Agents",
611211,Insurance Agent,
611300,Sales Representatives nfd,
611311,Sales Representative (Building and Plumbing Supplies),
611312,Sales Representative (Business Services),
611313,Sales Representative (Motor Vehicle Parts and Accessories),
611314,Sales Representative (Personal and Household Goods),
611399,Sales Representatives nec,
6113,Sales Representatives,
612100,Real Estate Sales Agents nfd,
612111,Business Broker,
612112,Property Manager,
612113,Real Estate Agency Principal,
612114,Real Estate Agent,
612115,Real Estate Representative,
6121,Real Estate Sales Agents,
621000,Sales Assistants and Salespersons nfd,
621111,Sales Assistant (General),
621211,ICT Sales Assistant,
621300,Motor Vehicle and Vehicle Parts Salespersons nfd,
621311,Motor Vehicle or Caravan Salesperson,
621312,Motor Vehicle Parts Interpreter,
6213,Motor Vehicle and Vehicle Parts Salespersons,
621411,Pharmacy Sales Assistant,
621511,Retail Supervisor,
621611,Service Station Attendant,
621700,Street Vendors and Related Salespersons nfd,
621711,Cash Van Salesperson,
621712,Door-to-door Salesperson,
621713,Street Vendor,
6217,Street Vendors and Related Salespersons,
621900,Other Sales Assistants and Salespersons nfd,
621911,Materials Recycler,
621912,Rental Salesperson,
621999,Sales Assistants and Salespersons nec,
6219,Other Sales Assistants and Salespersons,
630000,Sales Support Workers nfd,
631100,Checkout Operators and Office Cashiers nfd,
631111,Checkout Operator,
631112,Office Cashier,
6311,Checkout Operators and Office Cashiers,
639000,Miscellaneous Sales Support Workers nfd,
639100,Models and Sales Demonstrators nfd,
639111,Model,
639112,Sales Demonstrator,
6391,Models and Sales Demonstrators,
639200,Retail and Wool Buyers nfd,
639211,Retail Buyer,
639212,Wool Buyer,
6392,Retail and Wool Buyers,
639311,Telemarketer,
639400,Ticket Salespersons nfd,
639411,Ticket Seller,
639412,Transport Conductor,
6394,Ticket Salespersons,
639511,Visual Merchandiser,
639911,Other Sales Support Worker,
700000,Machinery Operators and Drivers nfd,
710000,Machine and Stationary Plant Operators nfd,
711000,Machine Operators nfd,
711100,"Clay, Concrete, Glass and Stone Processing Machine Operators nfd",
711111,Clay Products Machine Operator,
711112,Concrete Products Machine Operator,
711113,Glass Production Machine Operator,
711114,Stone Processing Machine Operator,
711199,"Clay, Concrete, Glass and Stone Processing Machine Operators nec",
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",
711211,Industrial Spraypainter,
711300,Paper and Wood Processing Machine Operators nfd,
711311,Paper Products Machine Operator,
711313,Sawmilling Operator,
711314,Other Wood Processing Machine Operator,
7113,Paper and Wood Processing Machine Operators,
711411,Photographic Developer and Printer,
711500,Plastics and Rubber Production Machine Operators nfd,
711511,Plastic Cablemaking Machine Operator,
711512,Plastic Compounding and Reclamation Machine Operator,
711513,Plastics Fabricator or Welder,
711514,Plastics Production Machine Operator (General),
711515,Reinforced Plastic and Composite Production Worker,
711516,Rubber Production Machine Operator,
711599,Plastics and Rubber Production Machine Operators nec,
7115,Plastics and Rubber Production Machine Operators,
711611,Sewing Machinist,
711700,Textile and Footwear Production Machine Operators nfd,
711711,Footwear Production Machine Operator,
711712,Hide and Skin Processing Machine Operator,
711713,Knitting Machine Operator,
711714,Textile Dyeing and Finishing Machine Operator,
711715,Weaving Machine Operator,
711716,Yarn Carding and Spinning Machine Operator,
711799,Textile and Footwear Production Machine Operators nec,
7117,Textile and Footwear Production Machine Operators,
711900,Other Machine Operators nfd,
711911,Chemical Production Machine Operator,
711912,Motion Picture Projectionist,
711913,Sand Blaster,
711914,Sterilisation Technician,
711999,Machine Operators nec,
7119,Other Machine Operators,
712000,Stationary Plant Operators nfd,
712111,"Crane, Hoist or Lift Operator",
712200,"Drillers, Miners and Shot Firers nfd",
712211,Driller,
712212,Miner,
712213,Shot Firer,
7122,"Drillers, Miners and Shot Firers",
712311,Engineering Production Worker,
712900,Other Stationary Plant Operators nfd,
712911,Boiler or Engine Operator,
712912,Bulk Materials Handling Plant Operator,
712913,Cement Production Plant Operator,
712914,Concrete Batching Plant Operator,
712915,Concrete Pump Operator,
712916,Paper and Pulp Mill Operator,
712917,Railway Signal Operator,
712918,Train Controller,
712921,Waste Water or Water Plant Operator,
712922,Weighbridge Operator,
712999,Stationary Plant Operators nec,
7129,Other Stationary Plant Operators,
721000,Mobile Plant Operators nfd,
721100,"Agricultural, Forestry and Horticultural Plant Operators nfd",
721111,Agricultural and Horticultural Mobile Plant Operator,
721112,Logging Plant Operator,
7211,"Agricultural, Forestry and Horticultural Plant Operators",
721200,Earthmoving Plant Operators nfd,
721211,Earthmoving Plant Operator (General),
721212,Backhoe Operator,
721213,Bulldozer Operator,
721214,Excavator Operator,
721215,Grader Operator,
721216,Loader Operator,
7212,Earthmoving Plant Operators,
721311,Forklift Driver,
721900,Other Mobile Plant Operators nfd,
721911,Aircraft Baggage Handler and Airline Ground Crew,
721912,Linemarker,
721913,Paving Plant Operator,
721914,Railway Track Plant Operator,
721915,Road Roller Operator,
721916,Streetsweeper Operator,
721999,Mobile Plant Operators nec,
7219,Other Mobile Plant Operators,
730000,Road and Rail Drivers nfd,
731000,"Automobile, Bus and Rail Drivers nfd",
731100,Automobile Drivers nfd,
731111,Chauffeur,
731112,Taxi Driver,
731199,Automobile Drivers nec,
7311,Automobile Drivers,
731200,Bus and Coach Drivers nfd,
731211,Bus Driver,
731212,Charter and Tour Bus Driver,
731213,Passenger Coach Driver,
7312,Bus and Coach Drivers,
731300,Train and Tram Drivers nfd,
731311,Train Driver,
731312,Tram Driver,
7313,Train and Tram Drivers,
732111,Delivery Driver,
733100,Truck Drivers nfd,
733111,Truck Driver (General),
733112,Aircraft Refueller,
733113,Furniture Removalist,
733114,Tanker Driver,
733115,Tow Truck Driver,
7331,Truck Drivers,
741111,Storeperson,
800000,Labourers nfd,
811000,Cleaners and Laundry Workers nfd,
811111,Car Detailer,
811211,Commercial Cleaner,
811311,Domestic Cleaner,
811400,Housekeepers nfd,
811411,Commercial Housekeeper,
811412,Domestic Housekeeper,
8114,Housekeepers,
811500,Laundry Workers nfd,
811511,Laundry Worker (General),
811512,Drycleaner,
811513,Ironer or Presser,
8115,Laundry Workers,
811600,Other Cleaners nfd,
811611,Carpet Cleaner,
811612,Window Cleaner,
811699,Cleaners nec,
8116,Other Cleaners,
821000,Construction and Mining Labourers nfd,
821100,Building and Plumbing Labourers nfd,
821111,Builder's Labourer,
821112,"Drainage, Sewerage and Stormwater Labourer",
821113,Earthmoving Labourer,
821114,Plumber's Assistant,
8211,Building and Plumbing Labourers,
821211,Concreter,
821311,Fencer,
821400,Insulation and Home Improvement Installers nfd,
821411,Building Insulation Installer,
821412,Home Improvement Installer,
8214,Insulation and Home Improvement Installers,
821511,Paving and Surfacing Labourer,
821611,Railway Track Worker,
821700,Structural Steel Construction Workers nfd,
821711,Construction Rigger,
821712,Scaffolder,
821713,Steel Fixer,
821714,Structural Steel Erector,
8217,Structural Steel Construction Workers,
821900,Other Construction and Mining Labourers nfd,
821911,Crane Chaser,
821912,Driller's Assistant,
821913,Lagger,
821914,Mining Support Worker,
821915,Surveyor's Assistant,
8219,Other Construction and Mining Labourers,
830000,Factory Process Workers nfd,
831000,Food Process Workers nfd,
831100,Food and Drink Factory Workers nfd,
831111,Baking Factory Worker,
831112,Brewery Worker,
831113,Confectionery Maker,
831114,Dairy Products Maker,
831115,Fruit and Vegetable Factory Worker,
831116,Grain Mill Worker,
831117,Sugar Mill Worker,
831118,Winery Cellar Hand,
831199,Food and Drink Factory Workers nec,
8311,Food and Drink Factory Workers,
831200,"Meat Boners and Slicers, and Slaughterers nfd",
831211,Meat Boner and Slicer,
831212,Slaughterer,
8312,"Meat Boners and Slicers, and Slaughterers",
831300,"Meat, Poultry and Seafood Process Workers nfd",
831311,Meat Process Worker,
831312,Poultry Process Worker,
831313,Seafood Process Worker,
8313,"Meat, Poultry and Seafood Process Workers",
832000,Packers and Product Assemblers nfd,
832100,Packers nfd,
832111,Chocolate Packer,
832112,Container Filler,
832113,Fruit and Vegetable Packer,
832114,Meat Packer,
832115,Seafood Packer,
832199,Packers nec,
8321,Packers,
832211,Product Assembler,
839000,Miscellaneous Factory Process Workers nfd,
839111,Metal Engineering Process Worker,
839200,Plastics and Rubber Factory Workers nfd,
839211,Plastics Factory Worker,
839212,Rubber Factory Worker,
8392,Plastics and Rubber Factory Workers,
839300,Product Quality Controllers nfd,
839311,Product Examiner,
839312,Product Grader,
839313,Product Tester,
8393,Product Quality Controllers,
839400,Timber and Wood Process Workers nfd,
839411,Paper and Pulp Mill Worker,
839412,Sawmill or Timber Yard Worker,
839413,Wood and Wood Products Factory Worker,
8394,Timber and Wood Process Workers,
839900,Other Factory Process Workers nfd,
839911,Cement and Concrete Plant Worker,
839912,Chemical Plant Worker,
839913,Clay Processing Factory Worker,
839914,Fabric and Textile Factory Worker,
839915,Footwear Factory Worker,
839916,Glass Processing Worker,
839917,Hide and Skin Processing Worker,
839918,Recycling Worker,
839999,Factory Process Workers nec,
8399,Other Factory Process Workers,
841000,"Farm, Forestry and Garden Workers nfd",
841111,Aquaculture Worker,
841200,Crop Farm Workers nfd,
841211,Fruit or Nut Farm Worker,
841212,Fruit or Nut Picker,
841213,"Grain, Oilseed or Pasture Farm Worker",
841214,Vegetable Farm Worker,
841215,Vegetable Picker,
841216,Vineyard Worker,
841217,Mushroom Picker,
841299,Crop Farm Workers nec,
8412,Crop Farm Workers,
841300,Forestry and Logging Workers nfd,
841311,Forestry Worker,
841312,Logging Assistant,
841313,Tree Faller,
8413,Forestry and Logging Workers,
841400,Garden and Nursery Labourers nfd,
841411,Garden Labourer,
841412,Horticultural Nursery Assistant,
8414,Garden and Nursery Labourers,
841500,Livestock Farm Workers nfd,
841511,Beef Cattle Farm Worker,
841512,Dairy Cattle Farm Worker,
841513,Mixed Livestock Farm Worker,
841514,Poultry Farm Worker,
841515,Sheep Farm Worker,
841516,Stablehand,
841517,Wool Handler,
841599,Livestock Farm Workers nec,
8415,Livestock Farm Workers,
841611,Mixed Crop and Livestock Farm Worker,
841900,"Other Farm, Forestry and Garden Workers nfd",
841911,Hunter-Trapper,
841913,Pest Controller,
841999,"Farm, Forestry and Garden Workers nec",
8419,"Other Farm, Forestry and Garden Workers",
851000,Food Preparation Assistants nfd,
851111,Fast Food Cook,
851200,Food Trades Assistants nfd,
851211,Pastrycook's Assistant,
851299,Food Trades Assistants nec,
8512,Food Trades Assistants,
851311,Kitchenhand,
890000,Other Labourers nfd,
891000,Freight Handlers and Shelf Fillers nfd,
891100,Freight and Furniture Handlers nfd,
891111,Freight Handler (Rail or Road),
891112,Truck Driver's Offsider,
891113,Waterside Worker,
8911,Freight and Furniture Handlers,
891211,Shelf Filler,
899000,Miscellaneous Labourers nfd,
899111,Caretaker,
899200,Deck and Fishing Hands nfd,
899211,Deck Hand,
899212,Fishing Hand,
8992,Deck and Fishing Hands,
899311,Handyperson,
899400,Motor Vehicle Parts and Accessories Fitters nfd,
899411,Motor Vehicle Parts and Accessories Fitter (General),
899412,Autoglazier,
899413,Exhaust and Muffler Repairer,
899414,Radiator Repairer,
899415,Tyre Fitter,
8994,Motor Vehicle Parts and Accessories Fitters,
899500,Printing Assistants and Table Workers nfd,
899511,Printer's Assistant,
899512,Printing Table Worker,
8995,Printing Assistants and Table Workers,
899611,Recycling or Rubbish Collector,
899711,Vending Machine Attendant,
899900,Other Miscellaneous Labourers nfd,
899911,Bicycle Mechanic,
899912,Car Park Attendant,
899913,Crossing Supervisor,
899914,Electrical or Telecommunications Trades Assistant,
899915,Leaflet or Newspaper Deliverer,
899916,Mechanic's Assistant,
899917,Railways Assistant,
899918,Sign Erector,
899921,Ticket Collector or Usher,
899922,Trolley Collector,
899923,Road Traffic Controller,
899999,Labourers nec,
8999,Other Miscellaneous Labourers,
99888,Inadequately described,
&&&&&&,Not stated,
,Total Employed,
1,Managers,
2,Professionals,
3,Technicians and Trades Workers,
4,Community and Personal Service Workers,
5,Clerical and Administrative Workers,
6,Sales Workers,
7,Machinery Operators and Drivers,
8,Labourers,
11,"Chief Executives, General Managers and Legislators",
12,Farmers and Farm Managers,
13,Specialist Managers,
14,"Hospitality, Retail and Service Managers",
21,Arts and Media Professionals,
22,"Business, Human Resource and Marketing Professionals",
23,"Design, Engineering, Science and Transport Professionals",
24,Education Professionals,
25,Health Professionals,
26,ICT Professionals,
27,"Legal, Social and Welfare Professionals",
31,"Engineering, ICT and Science Technicians",
32,Automotive and Engineering Trades Workers,
33,Construction Trades Workers,
34,Electrotechnology and Telecommunications Trades Workers,
35,Food Trades Workers,
36,Skilled Animal and Horticultural Workers,
39,Other Technicians and Trades Workers,
41,Health and Welfare Support Workers,
42,Carers and Aides,
43,Hospitality Workers,
44,Protective Service Workers,
45,Sports and Personal Service Workers,
51,Office Managers and Program Administrators,
52,Personal Assistants and Secretaries,
53,General Clerical Workers,
54,Inquiry Clerks and Receptionists,
55,Numerical Clerks,
56,Clerical and Office Support Workers,
59,Other Clerical and Administrative Workers,
61,Sales Representatives and Agents,
62,Sales Assistants and Salespersons,
63,Sales Support Workers,
71,Machine and Stationary Plant Operators,
72,Mobile Plant Operators,
73,Road and Rail Drivers,
74,Storepersons,
81,Cleaners and Laundry Workers,
82,Construction and Mining Labourers,
83,Factory Process Workers,
84,"Farm, Forestry and Garden Workers",
85,Food Preparation Assistants,
89,Other Labourers,
111,"Chief Executives, General Managers and Legislators",
121,Farmers and Farm Managers,
131,"Advertising, Public Relations and Sales Managers",
132,Business Administration Managers,
133,"Construction, Distribution and Production Managers",
134,"Education, Health and Welfare Services Managers",
135,ICT Managers,
139,Miscellaneous Specialist Managers,
141,Accommodation and Hospitality Managers,
142,Retail Managers,
149,"Miscellaneous Hospitality, Retail and Service Managers",
211,Arts Professionals,
212,Media Professionals,
221,"Accountants, Auditors and Company Secretaries",
222,"Financial Brokers and Dealers, and Investment Advisers",
223,Human Resource and Training Professionals,
224,Information and Organisation Professionals,
225,"Sales, Marketing and Public Relations Professionals",
231,Air and Marine Transport Professionals,
232,"Architects, Designers, Planners and Surveyors",
233,Engineering Professionals,
234,Natural and Physical Science Professionals,
241,School Teachers,
242,Tertiary Education Teachers,
249,Miscellaneous Education Professionals,
251,Health Diagnostic and Promotion Professionals,
252,Health Therapy Professionals,
253,Medical Practitioners,
254,Midwifery and Nursing Professionals,
261,"Business and Systems Analysts, and Programmers",
262,"Database and Systems Administrators, and ICT Security Specialists",
263,ICT Network and Support Professionals,
271,Legal Professionals,
272,Social and Welfare Professionals,
311,"Agricultural, Medical and Science Technicians",
312,Building and Engineering Technicians,
313,ICT and Telecommunications Technicians,
321,Automotive Electricians and Mechanics,
322,Fabrication Engineering Trades Workers,
323,Mechanical Engineering Trades Workers,
324,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",
331,"Bricklayers, and Carpenters and Joiners",
332,Floor Finishers and Painting Trades Workers,
333,"Glaziers, Plasterers and Tilers",
334,Plumbers,
341,Electricians,
342,Electronics and Telecommunications Trades Workers,
351,Food Trades Workers,
361,"Animal Attendants and Trainers, and Shearers",
362,Horticultural Trades Workers,
391,Hairdressers,
392,Printing Trades Workers,
393,"Textile, Clothing and Footwear Trades Workers",
394,Wood Trades Workers,
399,Miscellaneous Technicians and Trades Workers,
411,Health and Welfare Support Workers,
421,Child Carers,
422,Education Aides,
423,Personal Carers and Assistants,
431,Hospitality Workers,
441,"Defence Force Members, Fire Fighters and Police",
442,Prison and Security Officers,
451,Personal Service and Travel Workers,
452,Sports and Fitness Workers,
511,"Contract, Program and Project Administrators",
512,Office and Practice Managers,
521,Personal Assistants and Secretaries,
531,General Clerks,
532,Keyboard Operators,
541,Call or Contact Centre Information Clerks,
542,Receptionists,
551,Accounting Clerks and Bookkeepers,
552,Financial and Insurance Clerks,
561,Clerical and Office Support Workers,
591,Logistics Clerks,
599,Miscellaneous Clerical and Administrative Workers,
611,Insurance Agents and Sales Representatives,
612,Real Estate Sales Agents,
621,Sales Assistants and Salespersons,
631,Checkout Operators and Office Cashiers,
639,Miscellaneous Sales Support Workers,
711,Machine Operators,
712,Stationary Plant Operators,
721,Mobile Plant Operators,
731,"Automobile, Bus and Rail Drivers",
732,Delivery Drivers,
733,Truck Drivers,
741,Storepersons,
811,Cleaners and Laundry Workers,
821,Construction and Mining Labourers,
831,Food Process Workers,
832,Packers and Product Assemblers,
839,Miscellaneous Factory Process Workers,
841,"Farm, Forestry and Garden Workers",
851,Food Preparation Assistants,
891,Freight Handlers and Shelf Fillers,
899,Miscellaneous Labourers,
1111,Chief Executives and Managing Directors,
1211,Aquaculture Farmers,
1214,Mixed Crop and Livestock Farmers,
1321,Corporate Services Managers,
1322,Finance Managers,
1323,Human Resource Managers,
1324,Policy and Planning Managers,
1325,Research and Development Managers,
1332,Engineering Managers,
1334,Manufacturers,
1341,Child Care Centre Managers,
1343,School Principals,
1392,Senior Non-commissioned Defence Force Members,
1411,Cafe and Restaurant Managers,
