ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,time,obs_value,obs_status,obs_status.label,note_indicator,note_indicator.label,note_source,note_source.label
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_23,"Occupation (ISCO-08), 2 digit level: 23 - Teaching professionals",2017,209.643,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_26,"Occupation (ISCO-08), 2 digit level: 26 - Legal, social and cultural professionals",2017,2.413,U,Unreliable,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_31,"Occupation (ISCO-08), 2 digit level: 31 - Science and engineering associate professionals",2017,1.67,U,Unreliable,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_32,"Occupation (ISCO-08), 2 digit level: 32 - Health associate professionals",2017,13.994,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_33,"Occupation (ISCO-08), 2 digit level: 33 - Business and administration associate professionals",2017,21.984,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_34,"Occupation (ISCO-08), 2 digit level: 34 - Legal, social, cultural and related associate professionals",2017,41.648,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_35,"Occupation (ISCO-08), 2 digit level: 35 - Information and communications technicians",2017,4.777,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_41,"Occupation (ISCO-08), 2 digit level: 41 - General and keyboard clerks",2017,84.162,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_42,"Occupation (ISCO-08), 2 digit level: 42 - Customer services clerks",2017,12.727,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_43,"Occupation (ISCO-08), 2 digit level: 43 - Numerical and material recording clerks",2017,3.133,U,Unreliable,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_44,"Occupation (ISCO-08), 2 digit level: 44 - Other clerical support workers",2017,27.384,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_51,"Occupation (ISCO-08), 2 digit level: 51 - Personal service workers",2017,45.239,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_52,"Occupation (ISCO-08), 2 digit level: 52 - Sales workers",2017,642.513,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_53,"Occupation (ISCO-08), 2 digit level: 53 - Personal care workers",2017,5.495,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_54,"Occupation (ISCO-08), 2 digit level: 54 - Protective services workers",2017,66.54,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_61,"Occupation (ISCO-08), 2 digit level: 61 - Market-oriented skilled agricultural workers",2017,2626.681,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_62,"Occupation (ISCO-08), 2 digit level: 62 - Market-oriented skilled forestry, fishery and hunting workers",2017,4.901,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_63,"Occupation (ISCO-08), 2 digit level: 63 - Subsistence farmers, fishers, hunters and gatherers",2017,,U,Unreliable,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_71,"Occupation (ISCO-08), 2 digit level: 71 - Building and related trades workers, excluding electricians",2017,120.726,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_72,"Occupation (ISCO-08), 2 digit level: 72 - Metal, machinery and related trades workers",2017,114.446,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_73,"Occupation (ISCO-08), 2 digit level: 73 - Handicraft and printing workers",2017,61.823,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_74,"Occupation (ISCO-08), 2 digit level: 74 - Electrical and electronic trades workers",2017,4.857,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_75,"Occupation (ISCO-08), 2 digit level: 75 - Food processing, wood working, garment and other craft and related trades workers",2017,387.549,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_81,"Occupation (ISCO-08), 2 digit level: 81 - Stationary plant and machine operators",2017,26.258,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_82,"Occupation (ISCO-08), 2 digit level: 82 - Assemblers",2017,,U,Unreliable,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_83,"Occupation (ISCO-08), 2 digit level: 83 - Drivers and mobile plant operators",2017,363.271,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_91,"Occupation (ISCO-08), 2 digit level: 91 - Cleaners and helpers",2017,95.21,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_92,"Occupation (ISCO-08), 2 digit level: 92 - Agricultural, forestry and fishery labourers",2017,104.373,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_93,"Occupation (ISCO-08), 2 digit level: 93 - Labourers in mining, construction, manufacturing and transport",2017,504.357,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_94,"Occupation (ISCO-08), 2 digit level: 94 - Food preparation assistants",2017,,U,Unreliable,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_95,"Occupation (ISCO-08), 2 digit level: 95 - Street and related sales and service workers",2017,3.516,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_96,"Occupation (ISCO-08), 2 digit level: 96 - Refuse workers and other elementary workers",2017,295.506,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_X,"Occupation (ISCO-08), 2 digit level: Not elsewhere classified",2017,172.965,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_TOTAL,"Occupation (ISCO-08), 2 digit level: Total",2017,7240.9538,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_01,"Occupation (ISCO-08), 2 digit level: 01 - Commissioned armed forces officers",2017,7.5444,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_02,"Occupation (ISCO-08), 2 digit level: 02 - Non-commissioned armed forces officers",2017,10.9817,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_03,"Occupation (ISCO-08), 2 digit level: 03 - Armed forces occupations, other ranks",2017,26.4416,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_11,"Occupation (ISCO-08), 2 digit level: 11 - Chief executives, senior officials and legislators",2017,23.1597,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_12,"Occupation (ISCO-08), 2 digit level: 12 - Administrative and commercial managers",2017,143.5274,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_13,"Occupation (ISCO-08), 2 digit level: 13 - Production and specialised services managers",2017,46.1375,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_14,"Occupation (ISCO-08), 2 digit level: 14 - Hospitality, retail and other services managers",2017,12.8696,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_21,"Occupation (ISCO-08), 2 digit level: 21 - Science and engineering professionals",2017,225.7702,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_22,"Occupation (ISCO-08), 2 digit level: 22 - Health professionals",2017,64.518,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_23,"Occupation (ISCO-08), 2 digit level: 23 - Teaching professionals",2017,114.9722,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_24,"Occupation (ISCO-08), 2 digit level: 24 - Business and administration professionals",2017,190.7723,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_25,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2017,23.3831,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_26,"Occupation (ISCO-08), 2 digit level: 26 - Legal, social and cultural professionals",2017,44.6236,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_31,"Occupation (ISCO-08), 2 digit level: 31 - Science and engineering associate professionals",2017,242.3228,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_32,"Occupation (ISCO-08), 2 digit level: 32 - Health associate professionals",2017,15.6067,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_33,"Occupation (ISCO-08), 2 digit level: 33 - Business and administration associate professionals",2017,152.4585,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_34,"Occupation (ISCO-08), 2 digit level: 34 - Legal, social, cultural and related associate professionals",2017,24.6679,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_35,"Occupation (ISCO-08), 2 digit level: 35 - Information and communications technicians",2017,8.8172,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_41,"Occupation (ISCO-08), 2 digit level: 41 - General and keyboard clerks",2017,43.909,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_42,"Occupation (ISCO-08), 2 digit level: 42 - Customer services clerks",2017,36.6976,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_43,"Occupation (ISCO-08), 2 digit level: 43 - Numerical and material recording clerks",2017,26.8501,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_44,"Occupation (ISCO-08), 2 digit level: 44 - Other clerical support workers",2017,12.5901,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_51,"Occupation (ISCO-08), 2 digit level: 51 - Personal service workers",2017,186.8484,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_52,"Occupation (ISCO-08), 2 digit level: 52 - Sales workers",2017,148.8196,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_53,"Occupation (ISCO-08), 2 digit level: 53 - Personal care workers",2017,12.2879,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_54,"Occupation (ISCO-08), 2 digit level: 54 - Protective services workers",2017,115.9952,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_61,"Occupation (ISCO-08), 2 digit level: 61 - Market-oriented skilled agricultural workers",2017,27.6532,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_62,"Occupation (ISCO-08), 2 digit level: 62 - Market-oriented skilled forestry, fishery and hunting workers",2017,20.9903,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_63,"Occupation (ISCO-08), 2 digit level: 63 - Subsistence farmers, fishers, hunters and gatherers",2017,6.9728,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_71,"Occupation (ISCO-08), 2 digit level: 71 - Building and related trades workers, excluding electricians",2017,245.666,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_72,"Occupation (ISCO-08), 2 digit level: 72 - Metal, machinery and related trades workers",2017,126.4102,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_73,"Occupation (ISCO-08), 2 digit level: 73 - Handicraft and printing workers",2017,16.4997,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
ARE,United Arab Emirates,BA:716,ARE - LFS - Labour force survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_74,"Occupation (ISCO-08), 2 digit level: 74 - Electrical and electronic trades workers",2017,24.3452,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
